Clean Feature Name,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Origin
Dorsa Aldrovandi,126.81,23.61,28.65,"Planetographic, +East, -180 - 180",Approved,Ulisse; Italian Earth scientist (1522-1605).
Dorsa Andrusov,80.98,-1.56,56.77,"Planetographic, +East, -180 - 180",Approved,Nikolai Ivanovich; Soviet geologist (1861-1924).
Dorsa Argand,91.94,28.29,-40.34,"Planetographic, +East, -180 - 180",Approved,Ã‰mile; Swiss geologist (1879-1940).
Dorsa Barlow,112.57,14.04,30.57,"Planetographic, +East, -180 - 180",Approved,William; British crystallographer (1845-1934).
Dorsa Burnet,194.99,26.18,-56.78,"Planetographic, +East, -180 - 180",Approved,Thomas; British Earth scientist (1635-1715).
Dorsa Cato,128.64,0.21,47.70,"Planetographic, +East, -180 - 180",Approved,Marcus Porcius; Roman geological engineer (234-149 B.C.).
Dorsa Dana,82.31,2.26,89.60,"Planetographic, +East, -180 - 180",Approved,James Dwight; American Earth scientist (1813-1895).
Dorsa Ewing,261.57,-11.06,-38.31,"Planetographic, +East, -180 - 180",Approved,William Maurice; American geophysicist (1906-1974).
Dorsa Geikie,218.35,-4.21,52.83,"Planetographic, +East, -180 - 180",Approved,Sir Archibald; Scottish geologist (1835-1924).
Dorsa Harker,213.14,13.79,63.65,"Planetographic, +East, -180 - 180",Approved,Alfred; British petrologist (1859-1939).
Dorsa Lister,180.09,19.76,23.52,"Planetographic, +East, -180 - 180",Approved,"Martin; British stratigrapher, zoologist (1639-1712)."
Dorsa Mawson,142.71,-7.77,52.48,"Planetographic, +East, -180 - 180",Approved,Douglas; English-Australian Antarctic explorer (1882-1958).
Dorsa Rubey,100.64,-9.88,-42.36,"Planetographic, +East, -180 - 180",Approved,William Walden; American geologist (1898-1974).
Dorsa Smirnov,221.78,26.41,25.53,"Planetographic, +East, -180 - 180",Approved,Sergei Sergeevich; Soviet Earth scientist (1895-1947).
Dorsa Sorby,76.03,18.65,13.70,"Planetographic, +East, -180 - 180",Approved,Henry Clifton; British Earth scientist (1826-1908).
Dorsa Stille,66.32,26.91,-18.85,"Planetographic, +East, -180 - 180",Approved,Hans; German Earth scientist (1876-1966).
Dorsa Tetyaev,187.53,20.02,64.06,"Planetographic, +East, -180 - 180",Approved,Mikhail Mikhailovich; Soviet geologist (1882-1956).
Dorsa Whiston,138.93,29.77,-56.96,"Planetographic, +East, -180 - 180",Approved,"William; British mathematician, astronomer (1667-1752)."
Dorsum Arduino,99.73,24.77,-36.27,"Planetographic, +East, -180 - 180",Approved,Giovanni; Italian Earth scientist (1713-1795).
Dorsum Azara,103.20,26.86,19.17,"Planetographic, +East, -180 - 180",Approved,Felix De; Spanish Earth scientist (1746-1811).
Dorsum Bucher,84.65,30.76,-39.55,"Planetographic, +East, -180 - 180",Approved,Walter Herman; American geologist (1889-1965).
Dorsum Buckland,369.13,19.43,14.30,"Planetographic, +East, -180 - 180",Approved,William; British Earth scientist (1784-1856).
Dorsum Cayeux,95.14,0.76,51.22,"Planetographic, +East, -180 - 180",Approved,Lucien; French sedimentary petrographer (1864-1944).
Dorsum Cloos,103.09,1.15,90.41,"Planetographic, +East, -180 - 180",Approved,Hans; German Earth scientist (1885-1951).
Dorsum Cushman,85.65,1.42,49.19,"Planetographic, +East, -180 - 180",Approved,Joseph Augustine; American micropaleontologist (1881-1949).
Dorsum Gast,64.87,24.38,8.71,"Planetographic, +East, -180 - 180",Approved,"Paul Werner; American geochemist, geologist (1930-1973)."
Dorsum Grabau,123.69,29.76,-14.19,"Planetographic, +East, -180 - 180",Approved,Amadeus William; American paleontologist (1870-1946).
Dorsum Guettard,40.46,-9.92,-18.26,"Planetographic, +East, -180 - 180",Approved,"Jean-Etienne; French geologist, mineralogist (1715-1786)."
Dorsum Heim,146.79,32.20,-29.83,"Planetographic, +East, -180 - 180",Approved,Albert; Swiss Earth scientist (1849-1937).
Dorsum Higazy,63.10,27.93,-17.47,"Planetographic, +East, -180 - 180",Approved,Riad Abdel-Megid; Egyptian Earth scientist (1919-1967).
Dorsum Nicol,43.74,18.32,22.66,"Planetographic, +East, -180 - 180",Approved,William; Scottish physicist (1768-1851).
Dorsum Niggli,47.75,29.01,-52.28,"Planetographic, +East, -180 - 180",Approved,Paul; Swiss Earth scientist (1888-1953).
Dorsum Oppel,297.62,19.31,52.09,"Planetographic, +East, -180 - 180",Approved,Albert; German paleontologist (1831-1865).
Dorsum Owen,33.47,25.14,11.09,"Planetographic, +East, -180 - 180",Approved,George; British Earth scientist (1552-1613).
Dorsum Scilla,107.52,32.34,-60.00,"Planetographic, +East, -180 - 180",Approved,Agostino; Italian geologist (1639-1700).
Dorsum Termier,89.65,11.63,57.15,"Planetographic, +East, -180 - 180",Approved,Pierre-Marie; French geologist (1859-1930).
Dorsum Thera,7.25,24.40,-31.42,"Planetographic, +East, -180 - 180",Approved,Greek female name.
Dorsum Von Cotta,183.06,23.60,11.95,"Planetographic, +East, -180 - 180",Approved,Carl Bernard; German Earth scientist (1808-1879).
Dorsum Zirkel,195.22,29.55,-24.82,"Planetographic, +East, -180 - 180",Approved,"Ferdinand; German geologist, mineralogist (1838-1912)."