Host Feat.,Name,Lat.,Long.,Funnel Max Diam. (m),Funnel Min Diam. (m),Inner Max Diam. (m),Inner Max Diam. Sorting,Inner Min Diam. (m),Inner Min Diam. Sorting,Azimuth,Depth (m),Depth Sorting
Adams B,Adams B 1,-31.4121,65.6408,19,10,10,10,N/A,,110,9.0,9.0
Adams B,Adams B 2,-31.5449,65.7223,21,17,14,14,N/A,,85,4.0,4.0
Adams B,Adams B 3,-31.2886,65.7523,38,17,14,14,N/A,,135,2.0,2.0
Aristarchus,Aristarchus 1,23.8889,312.3506,31,16,27,27,10,10,95,13.0,13.0
Aristarchus,Aristarchus 2a,23.873,312.3029,22,18,19,19,16,16,35,5.0,5.0
Aristarchus,Aristarchus 2b,23.8726,312.3053,22,13,13,13,7,7,165,14.0,14.0
Aristarchus,Aristarchus 2c,23.8716,312.3098,38,35,22,22,16,16,145,14.0,14.0
Aristarchus,Aristarchus 3a,23.9331,312.4076,30,25,25,25,18,18,50,13.0,13.0
Aristarchus,Aristarchus 3b,23.9339,312.4084,23,18,18,18,8,8,60,10.0,10.0
Aristarchus,Aristarchus 3c,23.9344,312.407,39,17,16,16,8,8,45,6.0,6.0
Aristarchus,Aristarchus 4,23.914,312.3913,39,33,23,23,22,22,50,8.0,8.0
Aristarchus,Aristarchus 5,23.5984,312.4196,30,16,21,21,7,7,75,>17.0,17.0
Aristarchus,Aristarchus 6,23.4657,312.4235,24,18,12,12,7,7,120,11.0,11.0
Aristarchus,Aristarchus 7a,23.4536,312.3967,20,16,16,16,11,11,45,7.0,7.0
Aristarchus,Aristarchus 7b,23.4532,312.3957,30,27,24,24,12,12,85,5.0,5.0
Aristarchus,Aristarchus 8,23.9091,312.3992,36,30,28,28,23,23,5,7.0,7.0
Aristarchus,Aristarchus 9,23.8631,312.315,25,23,17,17,10,10,15,7.0,7.0
Aristillus,Aristillus 1,33.6622,0.7149,20,20,11,11,10,10,100,11.0,11.0
Aristillus,Aristillus 2,33.5874,1.019,30,36,16,16,9,9,45,14.0,14.0
Aristillus,Aristillus 3,33.5169,0.9128,51,34,33,33,19,19,40,8.0,8.0
Aristillus,Aristillus 4,33.4981,0.9447,28,25,N/A,,N/A,,50,14.0,14.0
Catalán B,Catalán B 1,-45.6547,271.426,32,19,26,26,15,15,175,7.0,7.0
Mare Fecunditatis,Central Mare Fecunditatis Pit,-0.9182,48.6595,198,162,122,122,100,100,155,42.0,42.0
Compton Crater,Compton Pit,56.2247,106.1955,230,140,110,110,92,92,140,35.0,35.0
Copernicus,Copernicus 1,9.9277,340.7455,31,25,11,11,9,9,180,8.0,8.0
Copernicus,Copernicus 10,10.1083,339.9456,N/A,45,38,38,11,11,145,23.0,23.0
Copernicus,Copernicus 11,9.9726,340.7284,28,23,8,8,4,4,130,11.0,11.0
Copernicus,Copernicus 12,9.5539,340.7251,40,30,15,15,10,10,130,18.0,18.0
Copernicus,Copernicus 13a,10.1857,339.8727,123,68,14,14,6,6,120,11.0,11.0
Copernicus,Copernicus 13b,10.1799,339.8811,25,25,5,5,5,5,145,5.0,5.0
Copernicus,Copernicus 14,10.2215,339.9041,N/A,40,20,20,7,7,60,17.0,17.0
Copernicus,Copernicus 16,9.4838,340.1616,115,96,73,73,71,71,90,15.0,15.0
Copernicus,Copernicus 17a,10.2403,339.6013,N/A,30,25,25,15,15,170,7.0,7.0
Copernicus,Copernicus 17b,10.2401,339.6012,10,3,10,10,3,3,160,>10.0,10.0
Copernicus,Copernicus 18,10.2933,339.5981,165,48,137,137,26,26,155,15.0,15.0
Copernicus,Copernicus 19a,10.1326,339.6052,57,51,11,11,3,3,32,>15.0,15.0
Copernicus,Copernicus 19b,10.1329,339.6055,57,51,7,7,4,4,32,>15.0,15.0
Copernicus,Copernicus 2,9.9308,340.7296,31,30,9,9,6,6,40,14.0,14.0
Copernicus,Copernicus 20,10.3522,339.7351,N/A,48,95,95,31,31,50,14.0,14.0
Copernicus,Copernicus 21,10.1943,339.847,150,60,44,44,17,17,105,15.0,15.0
Copernicus,Copernicus 22,10.2095,339.8873,29,11,17,17,3,3,75,>11.0,11.0
Copernicus,Copernicus 23,10.2067,339.8978,118,45,9,9,6,6,125,9.0,9.0
Copernicus,Copernicus 24,10.181,340.4814,130,70,85,85,52,52,145,16.0,16.0
Copernicus,Copernicus 3,9.9929,340.7149,36,36,13,13,10,10,60,7.0,7.0
Copernicus,Copernicus 4,10.3288,339.6206,71,128,89,89,49,49,35,24.0,24.0
Copernicus,Copernicus 5,9.0159,339.7451,35,28,13,13,7,7,40,10.0,10.0
Copernicus,Copernicus 6a,10.1053,339.995,55,30,10,10,9,9,150,11.0,11.0
Copernicus,Copernicus 6b,10.1048,339.9952,55,30,10,10,8,8,145,13.0,13.0
Copernicus,Copernicus 7,10.0763,340.0269,26,24,6,6,4,4,45,>21.0,21.0
Copernicus,Copernicus 8,10.1462,339.9373,70,50,57,57,21,21,130,12.0,12.0
Copernicus,Copernicus 9,10.1385,339.9387,31,22,10,10,7,7,140,12.0,12.0
Copernicus,Copernicus LB2,10.0588,339.8038,355,325,305,305,260,260,140,65.0,65.0
Copernicus,Copernicus LB3,10.0954,339.9231,430,330,385,385,315,315,60,66.0,66.0
Copernicus,Copernicus LB4,10.2041,339.9985,375,340,320,320,275,275,65,78.0,78.0
Copernicus,Copernicus LB5,10.2349,339.6899,290,230,270,270,220,220,10,50.0,50.0
Copernicus,Copernicus LB6,10.3127,339.7263,290,260,250,250,225,225,175,64.0,64.0
Crookes,Crookes 1,-10.2424,194.7536,259,77,213,213,67,67,70,17.0,17.0
Crookes,Crookes 10,-10.1717,194.8302,40,20,30,30,12,12,20,8.0,8.0
Crookes,Crookes 11a,-10.2353,194.783,57,38,41,41,25,25,45,9.0,9.0
Crookes,Crookes 11b,-10.2372,194.7822,55,34,28,28,26,26,30,9.0,9.0
Crookes,Crookes 2,-10.1275,194.7446,N/A,20,18,18,11,11,45,10.0,10.0
Crookes,Crookes 3,-10.0749,194.7337,17,17,6,6,6,6,115,>9.0,9.0
Crookes,Crookes 4,-10.2294,194.7791,84,41,15,15,12,12,50,>25.0,25.0
Crookes,Crookes 5a,-10.6859,194.8609,32,30,22,22,22,22,20,10.0,10.0
Crookes,Crookes 5b,-10.6825,194.8612,25,23,N/A,,5,5,15,12.0,12.0
Crookes,Crookes 5c,-10.6824,194.8646,46,38,45,45,34,34,25,9.0,9.0
Crookes,Crookes 5d,-10.6824,194.8626,6,6,4,4,4,4,135,10.0,10.0
Crookes,Crookes 6,-10.0854,194.8702,28,20,17,17,9,9,30,21.0,21.0
Crookes,Crookes 7,-10.5592,194.823,23,23,20,20,19,19,55,8.0,8.0
Crookes,Crookes 9,-10.1715,194.8375,34,28,26,26,22,22,50,10.0,10.0
Das,Das 1a,-26.3088,223.2603,N/A,N/A,21,21,5,5,135,11.0,11.0
Das,Das 1b,-26.3098,223.2599,18,13,6,6,5,5,100,11.0,11.0
Das,Das 2,-26.2518,223.0906,18,10,14,14,5,5,165,4.0,4.0
Das,Das 3,-26.2963,223.0729,23,21,18,18,13,13,145,6.0,6.0
Das,Das 4a,-26.4088,222.788,28,27,18,18,17,17,55,5.0,5.0
Das,Das 4b,-26.4148,222.7873,12,11,N/A,,N/A,,0,>5.0,5.0
Das,Das 4c,-26.4151,222.7864,11,9,4,4,2,2,130,>5.0,5.0
Das,Das 4d,-26.4189,222.7907,18,12,9,9,6,6,130,>6.0,6.0
Das,Das 4e,-26.4126,222.7987,21,13,N/A,,N/A,,0,5.0,5.0
Dollond E,Dollond E 1a,-10.2737,15.7013,47,35,36,36,25,25,140,>50.0,50.0
Dollond E,Dollond E 1b,-10.275,15.7004,17,12,17,17,N/A,,70,28.0,28.0
Dollond E,Dollond E 1c,-10.275,15.6998,12,11,12,12,11,11,130,32.0,32.0
Dollond E,Dollond E 1d,-10.2738,15.7035,11,8,11,11,N/A,,70,14.0,14.0
Fraunhofer G,Fraunhofer G 1,-38.5001,58.3638,23,14,17,17,11,11,25,4.0,4.0
Harriot,Harriot 1,33.2933,114.2911,41,34,27,27,25,25,50,9.0,9.0
Hayn,Hayn 1,65.2233,84.2004,35,27,N/A,,N/A,,60,>7.0,7.0
Highland,Highland 1,43.9662,23.0836,58,49,41,41,37,37,180,27.0,27.0
Highland,Highland 2,41.1563,18.8206,42,39,34,34,27,27,175,>24.0,24.0
Highland,Highland 3,42.3941,320.3076,66,63,45,45,41,41,35,27.0,27.0
Jackson,Jackson 1a,22.4208,196.2868,31,20,13,13,8,8,160,19.0,19.0
Jackson,Jackson 1b,22.4191,196.2828,51,49,30,30,26,26,60,20.0,20.0
Jackson,Jackson 1c,22.4214,196.2907,95,45,N/A,,31,31,60,15.0,15.0
Jackson,Jackson 2a,22.4967,196.2814,44,27,25,25,15,15,40,7.0,7.0
Jackson,Jackson 2b,22.4967,196.2814,N/A,N/A,11,11,9,9,140,11.0,11.0
Jackson,Jackson 3,22.1992,197.1493,34,27,18,18,11,11,165,17.0,17.0
Jackson,Jackson 4,21.7636,197.1197,14,10,9,9,5,5,85,8.0,8.0
Jackson,Jackson 5,22.3063,197.0853,17,15,11,11,9,9,120,>19.0,19.0
Jackson,Jackson 6,22.4434,197.2553,18,16,13,13,13,13,0,7.0,7.0
Kepler,Kepler 1,8.2745,322.0501,42,33,25,25,12,12,65,10.0,10.0
Kepler,Kepler 2,8.2724,322.0248,14,11,6,6,5,5,30,9.0,9.0
Kepler,Kepler 3,8.1636,322.0449,25,15,14,14,8,8,145,13.0,13.0
Kepler,Kepler 4a,7.946,322.1363,70,45,56,56,38,38,30,22.0,22.0
King,King 10,6.2504,119.5464,25,18,15,15,13,13,55,6.0,6.0
King,King 11a,6.4593,120.0017,32,28,29,29,26,26,100,7.0,7.0
King,King 11b,6.4604,120.0023,15,14,12,12,7,7,55,4.0,4.0
King,King 12,6.2487,119.7506,33,24,26,26,22,22,165,7.0,7.0
King,King 13a,6.2538,119.7626,28,21,22,22,15,15,70,8.0,8.0
King,King 13b,6.2551,119.7615,10,8,7,7,5,5,165,7.0,7.0
King,King 14,6.2784,119.7635,94,49,48,48,38,38,20,14.0,14.0
King,King 15a,6.4782,119.7847,19,15,13,13,9,9,100,4.0,4.0
King,King 15b,6.4781,119.7853,15,13,12,12,7,7,60,3.0,3.0
King,King 16,6.3643,119.9304,57,42,47,47,29,29,160,16.0,16.0
King,King 17,6.6252,119.9847,14,10,10,10,7,7,105,5.0,5.0
King,King 18,6.6235,119.9894,19,18,14,14,12,12,160,7.0,7.0
King,King 19,6.5931,119.9861,17,15,13,13,11,11,45,4.0,4.0
King,King 1a,6.2408,119.7341,30,22,27,27,18,18,25,11.0,11.0
King,King 1b,6.2402,119.7351,32,21,28,28,18,18,120,10.0,10.0
King,King 20a,6.5098,119.9269,29,29,22,22,12,12,140,12.0,12.0
King,King 20b,6.5108,119.9289,29,24,23,23,23,23,180,4.0,4.0
King,King 20c,6.513,119.9269,34,19,14,14,3,3,35,>6.0,6.0
King,King 20d,6.5142,119.9266,23,11,19,19,7,7,25,5.0,5.0
King,King 20e,6.5149,119.9298,22,14,6,6,4,4,40,5.0,5.0
King,King 20f,6.5153,119.9282,21,11,10,10,5,5,35,5.0,5.0
King,King 20g,6.5165,119.9304,13,10,5,5,4,4,40,4.0,4.0
King,King 20h,6.5183,119.9299,13,7,6,6,2,2,30,>4.0,4.0
King,King 21,6.517,119.9875,19,14,15,15,9,9,125,5.0,5.0
King,King 22,6.4835,119.9941,34,24,25,25,18,18,110,5.0,5.0
King,King 23,6.3794,119.9019,18,11,15,15,9,9,120,8.0,8.0
King,King 24a,6.3416,119.9914,9,9,7,7,5,5,35,2.0,2.0
King,King 24b,6.34,119.9907,23,19,20,20,14,14,15,4.0,4.0
King,King 24c,6.3389,119.9913,13,12,12,12,10,10,25,7.0,7.0
King,King 25,6.2691,119.9429,15,12,12,12,8,8,145,7.0,7.0
King,King 26,6.6385,119.82,16,12,14,14,11,11,35,5.0,5.0
King,King 27,6.5044,119.8719,9,6,6,6,4,4,20,9.0,9.0
King,King 28,6.3016,119.8593,223,20,156,156,15,15,60,22.0,22.0
King,King 29,6.4827,119.8145,18,15,14,14,11,11,155,6.0,6.0
King,King 2a,6.3808,119.9992,24,17,12,12,12,12,35,7.0,7.0
King,King 2b,6.3802,119.9972,19,18,15,15,9,9,160,7.0,7.0
King,King 30,6.3339,119.9937,20,15,13,13,8,8,135,6.0,6.0
King,King 31,6.5229,119.9879,12,12,9,9,6,6,25,5.0,5.0
King,King 32,6.3231,119.8067,20,16,12,12,11,11,120,6.0,6.0
King,King 33,6.4873,119.6998,19,15,15,15,11,11,135,7.0,7.0
King,King 34a,6.3372,119.9975,37,26,34,34,12,12,55,7.0,7.0
King,King 34b,6.3361,119.9972,24,21,13,13,10,10,125,4.0,4.0
King,King 35,6.4417,119.7252,44,39,35,35,24,24,5,6.0,6.0
King,King 36,6.214,119.7664,51,45,46,46,40,40,180,11.0,11.0
King,King 37,6.3814,120.0056,21,20,14,14,9,9,150,9.0,9.0
King,King 38,6.37,119.9252,35,16,24,24,11,11,125,8.0,8.0
King,King 39,6.6308,119.9842,8,6,5,5,4,4,55,5.0,5.0
King,King 3a,6.4082,119.8108,9,8,7,7,6,6,145,3.0,3.0
King,King 3b,6.4081,119.8105,9,9,6,6,4,4,160,6.0,6.0
King,King 40,6.4779,119.9976,50,31,26,26,17,17,110,6.0,6.0
King,King 41,6.6376,119.8299,16,7,12,12,5,5,135,6.0,6.0
King,King 42,6.3321,120.0066,30,16,16,16,10,10,145,6.0,6.0
King,King 4a,6.2066,119.7815,28,22,20,20,16,16,55,6.0,6.0
King,King 4b,6.2061,119.7804,21,19,15,15,14,14,25,8.0,8.0
King,King 5,6.3371,119.8005,23,20,16,16,13,13,180,7.0,7.0
King,King 6,6.2776,119.7247,10,10,7,7,6,6,180,7.0,7.0
King,King 7,6.467,119.7378,16,15,14,14,11,11,35,8.0,8.0
King,King 8a,6.4369,119.8329,15,14,12,12,10,10,35,8.0,8.0
King,King 8b,6.4365,119.8335,8,8,6,6,6,6,5,17.0,17.0
King,King 8c,6.4412,119.8331,12,7,7,7,5,5,155,5.0,5.0
King,King 9a,6.2281,119.5237,41,15,22,22,11,11,150,4.0,4.0
King,King 9b,6.2281,119.5214,10,9,8,8,7,7,135,6.0,6.0
Klute W,Klute W 1,38.086,216.885,25,19,16,16,10,10,100,7.0,7.0
Klute W,Klute W 2,38.1157,216.8965,30,19,12,12,9,9,25,5.0,5.0
Klute W,Klute W 3,38.098,216.9385,20,19,18,18,13,13,145,6.0,6.0
Klute W,Klute W 4,37.8581,216.8911,16,12,6,6,5,5,10,>8.0,8.0
Klute W,Klute W 5,38.1018,216.9323,21,14,5,5,4,4,140,2.0,2.0
Klute W,Klute W 6,38.1256,216.901,53,29,28,28,12,12,55,7.0,7.0
Lacus Mortis,Lacus Mortis Pit,44.9608,25.6119,280,210,N/A,,110,110,110,60.0,60.0
Lalande,Lalande 1,-4.4579,351.4667,21,15,7,7,N/A,,40,8.0,8.0
Lalande,Lalande 12,-4.4275,351.4436,11,9,8,8,4,4,150,11.0,11.0
Lalande,Lalande 13,-4.3571,351.3054,N/A,16,13,13,10,10,25,8.0,8.0
Lalande,Lalande 2,-4.4949,351.4992,22,15,19,19,12,12,15,6.0,6.0
Lalande,Lalande 3a,-4.5322,351.4893,13,10,8,8,7,7,45,8.0,8.0
Lalande,Lalande 3b,-4.5328,351.4895,31,28,28,28,23,23,40,4.0,4.0
Lalande,Lalande 3c,-4.5312,351.49,23,20,16,16,15,15,125,5.0,5.0
Lalande,Lalande 5a,-4.3408,351.4229,13,12,7,7,6,6,125,4.0,4.0
Mare Ingenii,Mare Ingenii Pit,-35.9494,166.0559,180,157,104,104,71,71,30,55.0,55.0
Mare Insularum,Mare Insularum Pit,8.6861,330.9665,315,255,N/A,,159,159,65,63.0,63.0
Mare Moscoviense,Mare Moscoviense Pit,29.5025,150.4647,205,205,175,175,160,160,170,40.0,40.0
Mare Serenitatis,Mare Serenitatis Pit,35.1041,17.4017,60,55,21,21,17,17,85,>25.0,25.0
Mare Tranquillitatis,Mare Tranquillitatis Pit,8.3355,33.222,146,140,100,100,88,88,170,105.0,105.0
Marius Hills,Marius Hills Pit,14.0917,303.2299,92,79,55,55,49,49,65,40.0,40.0
Messier A,Messier A 1,-2.0279,46.8995,13,9,8,8,4,4,50,15.0,15.0
Messier A,Messier A 2a,-2.014,46.9059,22,21,20,20,17,17,125,5.0,5.0
Messier A,Messier A 2b,-2.0166,46.9017,11,8,5,5,4,4,160,10.0,10.0
Messier A,Messier A 4a,-2.044,46.8825,33,14,22,22,9,9,175,14.0,14.0
Messier A,Messier A 4b,-2.0459,46.8839,N/A,16,16,16,13,13,155,>20.0,20.0
Milichius A,Milichius A 1,9.2642,327.9268,21,14,17,17,9,9,135,9.0,9.0
Oceanus Procellarum,North Procellarum 1 Pit,35.4097,314.3602,195,175,157,157,108,108,5,54.0,54.0
Oceanus Procellarum,North Procellarum 2 Pit,35.3433,314.3447,175,170,160,160,155,155,180,43.0,43.0
Oday,Oday 1,-30.9692,158.0535,20,14,17,17,9,9,145,>7.0,7.0
Oday,Oday 2,-30.9463,158.0644,34,16,14,14,12,12,25,4.0,4.0
Ohm,Ohm 1,18.0805,246.3187,31,30,15,15,13,13,130,>16.0,16.0
Ohm,Ohm 2,18.6687,246.4141,36,26,12,12,N/A,,75,16.0,16.0
Palitzsch B,Palitzsch B 1,-26.3162,68.1911,32,28,15,15,14,14,175,13.0,13.0
Philolaus,Philolaus 1,72.4657,328.5804,37,37,N/A,,N/A,,180,>8.0,8.0
Picard,Picard 1,14.4714,54.6591,25,17,12,12,8,8,135,10.0,10.0
Proclus,Proclus 1a,16.2972,46.8941,40,32,33,33,18,18,135,11.0,11.0
Proclus,Proclus 1b,16.2959,46.8916,42,30,36,36,23,23,175,14.0,14.0
Runge Crater,Runge Pit,-2.7024,86.78,31,28,14,14,12,12,165,5.0,5.0
Rutherfurd,Rutherfurd 1a,-60.7788,348.1876,18,17,14,14,13,13,70,5.0,5.0
Rutherfurd,Rutherfurd 1b,-60.7789,348.1862,15,14,9,9,N/A,,65,>3.0,3.0
Rutherfurd,Rutherfurd 2,-60.7757,348.253,36,30,24,24,19,19,10,9.0,9.0
Rutherfurd,Rutherfurd 3,-60.7751,348.2076,31,18,18,18,8,8,70,3.0,3.0
Schlüter Crater,Schlüter Pit,-5.8395,276.95,63,50,37,37,23,23,130,57.0,57.0
Schomberger A,Schomberger A 1,-78.0579,25.3441,13,9,10,10,6,6,70,>1.0,1.0
Sharonov,Sharonov 1a,12.5745,173.4036,19,13,7,7,6,6,20,>12.0,12.0
Sharonov,Sharonov 1b,12.5762,173.4015,15,12,7,7,6,6,45,8.0,8.0
Sinus Iridum,Sinus Iridum Pit,45.623,331.189,145,125,66,66,32,32,120,16.0,16.0
Mare Fecunditatis,Southwest Mare Fecunditatis Pit,-6.7521,42.7595,90,79,19,19,15,15,95,51.0,51.0
Mare Tranquillitatis,Southwest Mare Tranquillitatis B Pit,4.1438,24.6867,N/A,N/A,18,18,10,10,175,13.0,13.0
Mare Tranquillitatis,Southwest Mare Tranquillitatis Pit,4.1438,24.6871,100,80,32,32,26,26,165,25.0,25.0
Stefan L,Stefan L 1,44.537,252.0302,41,39,16,16,N/A,,30,13.0,13.0
Stefan L,Stefan L 2,44.4982,251.8344,30,28,20,20,19,19,80,10.0,10.0
Stevinus,Stevinus 1,-32.4259,54.6378,69,39,60,60,33,33,135,16.0,16.0
Stevinus,Stevinus 10,-32.9383,54.7378,16,10,7,7,5,5,130,5.0,5.0
Stevinus,Stevinus 11,-32.3302,54.7743,15,14,6,6,4,4,30,>6.0,6.0
Stevinus,Stevinus 12,-32.3174,54.746,30,24,24,24,18,18,100,7.0,7.0
Stevinus,Stevinus 13,-32.449,54.6446,8,7,4,4,4,4,0,4.0,4.0
Stevinus,Stevinus 14a,-32.1634,54.7124,20,16,14,14,12,12,115,14.0,14.0
Stevinus,Stevinus 14b,-32.1643,54.7118,12,9,9,9,7,7,65,5.0,5.0
Stevinus,Stevinus 15,-32.3568,54.9433,42,34,18,18,11,11,40,10.0,10.0
Stevinus,Stevinus 16,-32.1817,54.5943,28,23,17,17,13,13,115,11.0,11.0
Stevinus,Stevinus 17,-32.3695,53.6121,18,14,5,5,4,4,30,7.0,7.0
Stevinus,Stevinus 18,-32.1226,54.8746,21,13,9,9,9,9,140,6.0,6.0
Stevinus,Stevinus 19,-32.9337,53.7983,25,14,16,16,6,6,120,>13.0,13.0
Stevinus,Stevinus 2,-32.4828,54.5722,22,18,9,9,4,4,15,>7.0,7.0
Stevinus,Stevinus 22,-32.9349,53.9595,44,41,38,38,35,35,40,9.0,9.0
Stevinus,Stevinus 23,-32.9642,54.0249,14,14,7,7,4,4,30,>8.0,8.0
Stevinus,Stevinus 24,-32.7823,54.2992,12,12,N/A,,N/A,,0,4.0,4.0
Stevinus,Stevinus 25,-32.7393,54.2171,14,13,4,4,4,4,0,6.0,6.0
Stevinus,Stevinus 26,-32.1328,54.865,13,10,7,7,3,3,35,>9.0,9.0
Stevinus,Stevinus 3,-32.8592,54.0796,56,45,15,15,6,6,40,9.0,9.0
Stevinus,Stevinus 4,-32.7245,54.1735,15,15,11,11,10,10,30,8.0,8.0
Stevinus,Stevinus 5,-32.4519,54.6746,18,17,6,6,6,6,0,6.0,6.0
Stevinus,Stevinus 6,-32.3828,54.6579,13,8,7,7,4,4,45,7.0,7.0
Stevinus,Stevinus 7,-32.3554,54.7126,14,12,7,7,4,4,103,>7.0,7.0
Stevinus,Stevinus 8,-32.3088,54.6614,10,8,5,5,4,4,130,>6.0,6.0
Stevinus,Stevinus 9a,-32.9401,54.7446,22,13,7,7,7,7,145,6.0,6.0
Stevinus,Stevinus 9b,-32.9401,54.7446,N/A,N/A,6,6,4,4,155,>9.0,9.0
Tharp,Tharp 1a,-30.6002,145.6809,140,121,116,116,88,88,10,23.0,23.0
Tharp,Tharp 1b,-30.5999,145.6841,N/A,N/A,21,21,10,10,75,>16.0,16.0
Tharp,Tharp 2,-30.5395,145.5548,91,70,88,88,56,56,20,24.0,24.0
Tharp,Tharp 3,-30.5713,145.6634,40,37,31,31,N/A,,60,16.0,16.0
Tharp,Tharp 4,-30.6063,145.7057,12,12,10,10,8,8,60,9.0,9.0
Tharp,Tharp 5,-30.6106,145.7199,17,17,14,14,12,12,55,12.0,12.0
Tycho,Tycho 12,-43.2169,349.5787,47,31,34,34,16,16,50,15.0,15.0
Tycho,Tycho 13,-43.1399,348.2689,45,39,33,33,27,27,180,12.0,12.0
Tycho,Tycho 14,-43.1467,349.0718,30,27,16,16,10,10,160,>12.0,12.0
Tycho,Tycho 15a,-43.1445,349.6332,27,16,18,18,9,9,95,4.0,4.0
Tycho,Tycho 15b,-43.1456,349.6325,37,22,26,26,6,6,40,>9.0,9.0
Tycho,Tycho 16,-43.102,347.7799,68,48,60,60,40,40,165,18.0,18.0
Tycho,Tycho 17a,-43.0855,348.2422,86,61,72,72,42,42,50,16.0,16.0
Tycho,Tycho 17b,-43.0794,348.2427,98,76,68,68,53,53,50,20.0,20.0
Tycho,Tycho 18,-43.2779,347.8259,70,61,61,61,40,40,10,17.0,17.0
Tycho,Tycho 19,-43.0996,349.4182,15,14,11,11,9,9,180,7.0,7.0
Tycho,Tycho 2,-42.5978,347.8196,18,12,13,13,6,6,15,3.0,3.0
Tycho,Tycho 29a,-42.8468,348.5424,20,12,18,18,9,9,50,>10.0,10.0
Tycho,Tycho 29b,-42.8473,348.5415,18,14,14,14,9,9,140,8.0,8.0
Tycho,Tycho 29c,-42.8478,348.5405,37,35,25,25,17,17,50,10.0,10.0
Tycho,Tycho 3,-42.9449,347.7857,43,40,18,18,9,9,50,>6.0,6.0
Tycho,Tycho 5a,-42.6199,348.6332,54,35,31,31,21,21,70,22.0,22.0
Tycho,Tycho 5b,-42.6179,348.6363,86,50,77,77,42,42,50,15.0,15.0
Tycho,Tycho 5c,-42.6152,348.6417,57,34,N/A,,N/A,,90,10.0,10.0
Tycho,Tycho 5d,-42.612,348.6483,88,51,62,62,37,37,60,10.0,10.0
Tycho,Tycho 5e,-42.6218,348.6372,20,19,15,15,14,14,60,5.0,5.0
Tycho,Tycho 6,-42.8894,349.3296,30,27,20,20,19,19,120,7.0,7.0
Tycho,Tycho 7,-42.8468,348.5347,24,21,16,16,12,12,50,>15.0,15.0
Tycho,Tycho 8,-42.7882,348.7741,42,37,8,8,8,8,135,10.0,10.0
Tycho,Tycho 9,-42.6506,349.5415,77,29,58,58,16,16,100,11.0,11.0
Virtanen F,Virtanen F 1,15.7946,177.2069,49,42,20,20,14,14,55,17.0,17.0
Weiner F,Weiner F 1,41.0722,149.9284,82,82,63,63,62,62,120,22.0,22.0
Marius Hills,West Marius Hills Pit,13.5507,301.8267,95,70,N/A,,47,47,55,16.0,16.0
Wood T,Wood T 1a,43.8876,235.754,46,33,40,40,25,25,40,11.0,11.0
Wood T,Wood T 1b,43.8862,235.7613,23,18,17,17,14,14,30,11.0,11.0
