Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Sinus Aestuum,Moon,316.50,12.10,-8.34,"Planetographic, +East, -180 - 180",Approved,1935,“;Seething Bay.“;
Sinus Amoris,Moon,189.10,19.92,37.29,"Planetographic, +East, -180 - 180",Approved,1976,“;Bay of Love.“;
Sinus Asperitatis,Moon,219.14,-5.41,27.49,"Planetographic, +East, -180 - 180",Approved,1976,“;Bay of Roughness.“;
Sinus Concordiae,Moon,159.03,10.98,42.47,"Planetographic, +East, -180 - 180",Approved,1976,“;Bay of Harmony.“;
Sinus Fidei,Moon,70.70,17.99,2.04,"Planetographic, +East, -180 - 180",Approved,1976,“;Bay of Trust.“;
Sinus Honoris,Moon,111.61,11.72,17.87,"Planetographic, +East, -180 - 180",Approved,1976,“;Bay of Honor.“;
Sinus Iridum,Moon,249.29,45.01,-31.67,"Planetographic, +East, -180 - 180",Approved,1935,“;Bay of Rainbows.“;
Sinus Lunicus,Moon,119.17,32.36,-1.85,"Planetographic, +East, -180 - 180",Approved,1970,“;Lunik Bay“;-landing area of Luna (Lunik) 2.
Sinus Medii,Moon,286.67,1.63,1.03,"Planetographic, +East, -180 - 180",Approved,1935,“;Bay of the center.“;
Sinus Roris,Moon,195.04,50.26,-50.86,"Planetographic, +East, -180 - 180",Approved,1935,“;Bay of Dew.“;
Sinus Successus,Moon,126.65,1.12,58.52,"Planetographic, +East, -180 - 180",Approved,1979,“;Bay of Success.“;